 type|subtype|name|abbrev|notes|cost|humanity cost|surgery|number of options|source
 CYBERAUDIO|OPTION|Enhanced Hearing Range|EH|Ability to hear super\\& subsonic ranges. SWx2|150|2|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Frequency Changer|FC|up to 6 channels|100|0|N||Chromebook 1 pg.39
 CYBERAUDIO|OPTION|Homing Tracer|HT|Can follow tracer up to 1km distant|200|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Level Damper|LD|Automatic noise compensation. -25% from SW|300|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Micro-recorder Link|MR|Transmits to recorder in body or via plugs|100|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Phone Splice|PS|Full cellular communication (large city only)|150|1|N||Cyberpunk 2020 pg.87
 CYBERAUDIO|OPTION|Radar Detector|RD|Beeps if radar encountered; fixes source(40%)|150|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Radio Link|RL|Radio communication up to 1 mile|100|1|N||Cyberpunk 2020 pg.87
 CYBERAUDIO|OPTION|Scrambler|SC|Cannot understand with out a descrambler|100|0.5|N||Cyberpunk 2020 pg.87
 CYBERAUDIO|OPTION|ShareChecker™ Link|SCL|Share information using Time Square; screen or audio|100|0.5|N||Eurotour pg.8
 CYBERAUDIO|OPTION|Sound Editing|SE|+2 Awareness to overhear specific conversation|150|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Tight Beam Radio Link|TBR|Allows untappable radio com within line of sight|200|1|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Voice Stress Analyzer|VSA|+2 to Human Perception; Interrogation skills|200|1|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Wearman|WM|Stereo music system|100|0.5|N||Cyberpunk 2020 pg.88
 CYBERAUDIO|OPTION|Wide Band Radio Scanner|WB|Picks up transmissions on all bands|100|2|N||Cyberpunk 2020 pg.88
 CYBERFOOT||Anchoring Cyberfeet||Anchors use to ground. 4 uses (2 spaces each)|400|3|N||Chromebook 2 pg.5
 CYBERFOOT||Catspaw Stealth Foot||+1 to Stealth skill|150|1|N||Chromebook 4 pg.5
 CYBERFOOT||Grip Foot|GRPF|For better gripping strength. +2 to Climb|500|2|N||Cyberpunk 2020 pg.90
 CYBERFOOT||Skate Foot||Allows an MA 20. Use Athletics or skate skill|440|1d6|N||Chromebook 1 pg.33
 CYBERFOOT||Spike Heel Foot|SPKF|Heel spike for lethal kicks. 2d6AP damage|500|2d6|N||Cyberpunk 2020 pg.90
 CYBERFOOT||Standard Foot|STD|Resembles normal foot|200|0|N||Cyberpunk 2020 pg.90
 CYBERFOOT||Talon Foot|TAL|1d6 damage|600|2d6|N|0|Cyberpunk 2020 pg.90
 CYBERFOOT||Tool Foot|TOLF|Toes contain screwdriver; wrench; drill;etc|300|2|N||Cyberpunk 2020 pg.90
 CYBERFOOT||Web Foot|WEB|Doubles swimming speed; +3 to Swim skill|500|2|N||Cyberpunk 2020 pg.90
 CYBERHAND||BuzzHand|BUZ|Circular saw 2d6+2 damage|600|2d6|N|0|Cyberpunk 2020 pg.90
 CYBERHAND||Buzzsaw||2d6+2 damage 1 foot chainsaw. soft armor takes 2pts damage.|2199|2d6+4|N||Solo of Fortune pg.32
 CYBERHAND||Custom Cyberhand||Varies|900|0|N|5|Chromebook 2 pg.5
 CYBERHAND||Dynalar Web Hand||+2 swim; +1-2m/turn; 1d6* damage|250|2|N||Chromebook 3 pg.26
 CYBERHAND||Grapple Hand|GRP|Extends rocket-propelled grapple; 30m line|350|3|N||Cyberpunk 2020 pg.90
 CYBERHAND||Hammer Hand|HAM|Hydraulic Ram fist does 1d10 damage|600|2d6|N||Cyberpunk 2020 pg.90
 CYBERHAND||Hammerhand||1D10 damage.|1150|2d6+1|N||Solo of Fortune pg.32
 CYBERHAND||Independent Cyberhand||1d10 crush; 7/10 SDP; 1 option space|750|1d6|MA|5|Chromebook 1 pg.31
 CYBERHAND||Medical Modular Cyberhand - independent||Monoscalpel; air-hypo; stapler; probe;etc|975|1d6/2|MA||Chromebook 4 pg.5
 CYBERHAND||Medical Modular Cyberhand - part of cyberarm||Monoscalpel; air-hypo; stapler; probe;etc|975|1d6/2|N||Chromebook 4 pg.5
 CYBERHAND||Modular Hand|MOD|Drug injector; Garrote, 1\" blade; Picklock; 2\"x2\" space|600|2|N||Cyberpunk 2020 pg.91
 CYBERHAND||Ripper Hand|RPH|1d6+3|600|2d6|N|0|Cyberpunk 2020 pg.90
 CYBERHAND||Spike Hand|SPK|1d6+3 AP|500|2d6|N|0|Cyberpunk 2020 pg.90
 CYBERHAND||Standard Hand|STDF|Resembles normal hand|150|0|N|5|Cyberpunk 2020 pg.90
 CYBERHAND||Tool Hand|TOL|Fingers contain screwdriver wrench; drill; etc|200|2|N||Cyberpunk 2020 pg.90
