  name|type|category|subcategory|wa|conc|avail|damage|ammo|shots|rof|rel|range|cost|source
  Nelspot 'Wombat' Airpistol|P|EXOTICS||-1|J"|C|Drugs||20|2|UR|40|200|BH pg.7
  Nomad Boomerang|EX|EXOTICS||-1|L"|P|2d6||1|1|VR|0|20|BH pg.7
  Nomad Pneumatic Bolt Gun|EX|EXOTICS||-1|N"|R|3d6|Bolt|4|1|ST|25|350|BH pg.7
  Nomad Sling|EX|EXOTICS||0|P"|P|1d6/2||1|1|VR|20|10|BH pg.8
  Petrochem Drug-A-Thug|EX|EXOTICS||0|P"|C|Chemical||5|1|VR|0|150|BH pg.8
  Pursuit Security, Incorporated Beanbag Gun|SHT|EXOTICS||-2|J"|E|Stun||4|1|ST|3|100|BH pg.8
  Pursuit Security, Incorporated Stundart Pistol|P|EXOTICS||-1|J"|C|Stun-1|.45mm LVD|2|2|VR|50|109|BH pg.8
  Pursuit Security, Incorporated Webgun|EX|EXOTICS||1|N"|C|Entangle||1|1|ST|30|250|BH pg.8
  Skunker|EX|EXOTICS||-1|P"|E|Gas||4|1|VR|2|70|BH pg.8
  Streettech 'Burst'|SHT|EXOTICS||-1|P"|E|2d6+1|28ga|1|1|VR|3|33|BH pg.8
  Techtronica 15 Microwaver|P|EXOTICS||0|J"|P|1d6|Microwave|10|2|VR|20|400|BH pg.9
  Techtronica 20 Microwaver|P|EXOTICS||0|J"|P|1d6|Microwave|15|2|VR|25|500|BH pg.9
  Techtronica Black-Zap|MEL|EXOTICS||0|P"|C|Stun-2||6|1|ST|1|90|BH pg.9
  Techtronica M40 'Pulse Rifle'|RIF|EXOTICS||0|N"|R|EMP||6|0.5|ST|50|3500|BH pg.9
  Techtronica Model 009 Volt Pistol|P|EXOTICS||1|J"|R|3d6|Electricity|6|1|ST|25|950|BH pg.9
  Tsunami 'Airhammer' Air Pistol, Solo model|P|EXOTICS||1|J"||Special|5.3mm|5|2|ST|50|325|BH pg.9
  Tsunami Under-Barrel CapLaser|RIF|EXOTICS||2|N"|R|3d6|Laser|2|2|UR|25|950|BH pg.9
  Tsunami Under-Barrel Microwaver|EX|EXOTICS||0|N"|P|1d6|Microwave|4|2|ST|20|500|BH pg.9
  UrbanTech 'Lance' Mini-Missile|HVY|EXOTICS||2|P"|C|4d6|HEAT|1|1|UR|300|100|BH pg.10
  Arasaka Arms Half-Bow|EX|EXOTICS|BOWS|-1|L"|P|3d6|Arrow|12|1|VR|100|100|BH pg.4
  Eagletech 'Bearcat'|EX|EXOTICS|BOWS|1|N"|P|6d6 |Arrow|12|1|VR|150|500|BH pg.4
  Eagletech 'Tigercat'|EX|EXOTICS|BOWS|1|N"|P|6d6 |Arrow|12|1|VR|150|500|BH pg.4
  Eagletech 'Tomcat' C-bow|EX|EXOTICS|BOWS|0|N"|C|4d6|Arrow|12|1|VR|150|150|BH pg.4
  Eagletech 'Wildcat'|EX|EXOTICS|BOWS|0|N"|E|3d6|Arrow|12|1|VR|100|35|BH pg.4
  Eagletech 'Wildcat'|EX|EXOTICS|BOWS|0|N"|E|3d6|Arrow|12|1|VR|100|35|BH pg.4
  Eagletech 'Arbelest'|EX|EXOTICS|CROSSBOWS|0|N"|P|5d6|Bolt|12|0.5|VR|150|500|BH pg.5
  Eagletech 'Handbow'|EX|EXOTICS|CROSSBOWS|-1|J"|E|1d6+2|Bolt|12|1|VR|25|75|BH pg.5
  Eagletech 'Scorpion'|EX|EXOTICS|CROSSBOWS|0|N"|P|7d6|Bolt|6|0.5|VR|200|1500|BH pg.5
  Eagletech 'Stryker' X-bow|EX|EXOTICS|CROSSBOWS|-1|N"|C|3d6+3|Bolt|12|1|VR|50|220|BH pg.5
  Nomad Hand Crossbow|EX|EXOTICS|CROSSBOWS|0|N"|R|1d6+1|Bolt|1|1|ST|20|100|BH pg.5
  Antipersonnel Mine|HVY|EXPLOSIVES||0|J"|P|4d10||1|1|VR|0|350|BH pg.42
  Antitank Mine|HVY|EXPLOSIVES||0|L"|P|6d10||1|1|VR|2|400|BH pg.43
  C6 'Flatfire' Plastic Explosive|HVY|EXPLOSIVES||0|P"|P|8d10||1|1|VR|0|100|BH pg.43
  Detcord|HVY|EXPLOSIVES||0|P"|P|6d10||0|0|VR|0|100|LU pg.106
  Fen Dz 25 'Det Card'|HVY|EXPLOSIVES||0|P"|P|1d10||1|1|ST|0|120|BH pg.43
  Guncotton|HVY|EXPLOSIVES||0|P"|P|3d10||0|0|ST|0|10|LU pg.105
  M20 Claymore Mine|HVY|EXPLOSIVES||0|L"|P|4d10||1|1|ST|0|500|BH pg.43
  Militech PDU-3 Multi-Purpose Perimeter Defense Unit|HVY|EXPLOSIVES||0|P"|P|2d6+5||1|1|ST|0|150|BH pg.43
  Nitrogen Tri-iodide|HVY|EXPLOSIVES||0|P"|P|5d10 per kilo||1|1|UR|3|2|LU pg.105
  Nitroglycerine|HVY|EXPLOSIVES||0|P"|P|3d10||0|0|UR|0|24|LU pg.105
  Plastique|HVY|EXPLOSIVES||0|P"|P|7d10||0|0|VR|0|75|LU pg.106
  Remote Anti-vehicle Mine|HVY|EXPLOSIVES||-2|L"|P|4d10 ||1|1|VR|200|600|HOB pg.80
  Thermite-In-A-Tube|HVY|EXPLOSIVES||0|P"|P|4d4||1|1|VR|0.5|0|chr4 pg.72
  TNT|HVY|EXPLOSIVES||0|P"|P|4d10||0|0|ST|0|30|LU pg.106
  Arasaka WCCA Susano|HVY|GRENADE LAUNCHERS||0|N"|P||25mm grenade|9|2|VR|200|450|SW pg.32
  Militech Rpage-B|HVY|GRENADE LAUNCHERS||-2|N"|R|9d10 HEAT|90mm RKT|1|1|VR|500|1500|MM pg.19
  Towa Manufacturing Type-9 Grenade Launcher|HVY|GRENADE LAUNCHERS||0|N"|P||40mm grenade|8|2|VR|200|750|BH pg.37
  Tsunami Arms Type-18 Automatic Grenade Launcher|HVY|GRENADE LAUNCHERS||-1|N"|P||25mm grenade|30|10|ST|200|2000|BH pg.37
  Biotech-Askari Motion Restraint Bomb|EX|GRENADES||0|P"|P|||1|1|UR|0|60|BH pg.40
  DutchArms GPz-78 Mini-Grenade|HVY|GRENADES||0|P"|P|1d6+3||1|1|VR|0|40|BH pg.40
  EMP Grenade|EX|GRENADES||0|P"|R|||1|1|ST*|0|200|BH pg.40
  Fen Dz 22 'Saucer Grenade'|HVY|GRENADES||1|P"|P|2d6+3||1|1|ST|0|65|BH pg.40
  Hand Grenade - Anti-Tank|HVY|GRENADES||0|P"|P|5d10||1|1|ST|0|30|BH pg.39
  Hand Grenade - Chemical Gas/Smoke/Paint|HVY|GRENADES||0|P"|P|||1|1|ST|0|30|BH pg.39
  Hand Grenade - Flash|HVY|GRENADES||0|P"|P|0||1|1|ST|0|30|BH pg.39
  Hand Grenade - Flash-Bang|HVY|GRENADES||0|P"|P|0||1|1|ST|0|30|BH pg.37
  Hand Grenade - High Explosive |HVY|GRENADES||0|P"|P|7d6||1|1|ST|0|30|BH pg.39
  Hand Grenade - Sonic|HVY|GRENADES||0|P"|P|0||1|1|ST|0|40|BH pg.39
  Hand Grenade - White Phosphorous/Incendiary|HVY|GRENADES||0|P"|P|4d6||1|1|ST|0|30|BH pg.39
  Ninja Smoke Pellet|EX|GRENADES||0|p"|C|||1|1|VR|0|5|BH pg.40
  Scatter Grenade|HVY|GRENADES||0|P"|P|||1|1|ST|0|70|BH pg.40
  Spraypaint Grenade|HVY|GRENADES||0|P"|P|||1|1|ST|0|20|BH pg.40
  Stench bomb|HVY|GRENADES||0|P"|P|||1|1|ST|0|20|BH pg.40
  60mm Light Mortar|RIF|HEAVY WEAPONS||0|N"|P|8d10|60mm mortar|1|2|VR|1000|750|BH pg.34
  Arasaka AP-87 LATGM|HVY|HEAVY WEAPONS||2|N"|P|24d10||6|1|VR|1000|0|SW pg.134
  Colt-Mauser M2X Cannon|HVY|HEAVY WEAPONS||0|N"|R|8d10|20mm|8|1|ST|600|3050|BH pg.34
  Commercial 40mm Grenade Launchers|HVY|HEAVY WEAPONS||0|L"|R||40mm grenade|1|1|ST|225|150|BH pg.34
  Commercial 30mm Grenade Launchers|HVY|HEAVY WEAPONS||0|L"|R||30mm grenade|1|1|ST|225|150|BH pg.34
  DCR Rifle Grenades - HE/Smoke|HVY|HEAVY WEAPONS||-1|N"|P||Varies|1|0.5|VR|150|50|BH pg.41
  HLAW|HVY|HEAVY WEAPONS||-2|N"|P|11D10||1|1|VR|100|800|BH pg.35
  Kenshiri Adachi F-253 Flamethrower|HVY|HEAVY WEAPONS||-2|N"|R|2d10|Fire|10|1|ST|50|1500|BH pg.34
  LAW|HVY|HEAVY WEAPONS||-2|L"|P|4D10||1|1|VR|100|300|BH pg.35
  M-205 Grenade Launcher|HVY|HEAVY WEAPONS||1|L"|P||40mm grenade|1|1|VR|200|250|BH pg.35
  M-212 Grenade launcher|HVY|HEAVY WEAPONS||1|N"|P||40mm grenade|8|2|VR|200|500|BH pg.35
  M-32 Automatic Grenade Launcher|HVY|HEAVY WEAPONS||0|N"|R||40mm grenade|50|20|VR|1600|2500|BH pg.35
  Militech 'Cowboy' U-55 Grenade Launcher|HVY|HEAVY WEAPONS||0|N"|P||25mm grenade|12|3|ST|150|900|BH pg.35
  Militech 4-Pack Missile|HVY|HEAVY WEAPONS||15|N"|P|20d10||1|1|ST|3000|11000|SW pg.39
  Militech AM-3 'Anti-Matter Rifle'|RIF|HEAVY WEAPONS||0|N"|R|9d10|30mm DPU|5|1|ST|1600|6000|BH pg.35
  Militech Backpack Mortar|HVY|HEAVY WEAPONS||0|N"|P|7d6|40mm Mortar|20|3|ST|500|1250|SW pg.38
  Militech BMFG 30mm Plasma Cannon|HVY|HEAVY WEAPONS||0|N"|R|9d10|30mm PC|5|1|ST|600|4500|SW pg.37
  Militech Hotshot L-ATGM|HVY|HEAVY WEAPONS||2|N"|P|12D10||1|1|VR|500|2500|BH pg.35
  Militech Man-Pack Artillery rocket|HVY|HEAVY WEAPONS||0|N"|P|13d10||1|1|VR|2000|1500|SW pg.39
  Militech Mini-Grenade Launcher Drum Model|HVY|HEAVY WEAPONS||0|N"|P||25mm grenade|16|2|ST|150|475|BH pg.35
  Militech Mini-Grenade Launcher Pump Model|HVY|HEAVY WEAPONS||-1|L"|C||25mm grenade|4|2|ST|150|225|BH pg.35
  Militech RPG-A Grenade Launcher|HVY|HEAVY WEAPONS||-2|N"|R|6d10||1|1|VR|750|1500|BH pg.36
  Militech Scorpion 16 Surface-to-Air Missile|HVY|HEAVY WEAPONS||-1|N"|P|7D10||1|1|VR|500|1000|BH pg.36
  Militech Sure-Shot|HVY|HEAVY WEAPONS||2|N"|P|18d10|HATGM RKT|1|1|ST|3000|75000|SW pg.38
  Militech Urban Missile Launcher|HVY|HEAVY WEAPONS||2|L"|P|4d6|missile|12|2|ST|200|900|BH pg.36
  Militech Urban Underbarrel Missile Launcher|HVY|HEAVY WEAPONS||1|L"|P|4d6|missile|1|1|ST|200|900|BH pg.36
  Militech XR-1 Mag Pulse|RIF|HEAVY WEAPONS||2|N"|P|3d10AP (EAP)||20|1|UR|800|8000|SW pg.33
  Rhinemetall EMG-85 Railgun|HVY|HEAVY WEAPONS||3|N"|R|5d10+10|EAP|5|0.5|ST|1500|11370|BH pg.36
  Rostovic Wrist Racate|HVY|HEAVY WEAPONS||0|N"|P|5d6|30mm Rocket|6|3|ST|250|380|BH pg.36
  Royal Enfield Ordnance 25mm Cockerill Assault Cannon|HVY|HEAVY WEAPONS||1|N"|R|5d10+10|25mm AP|12|1|ST|1500|7400|BH pg.36
  Setsuko-Arasaka Nova Photon|HVY|HEAVY WEAPONS||4|N"|R|4d10||1|1|UR|500|50000|SW pg.37
  Tsunami Arms Type-17 Anti-Armor Rifle|HVY|HEAVY WEAPONS||1|N"|R|8d10|20mm|12|1|ST|1200|7500|BH pg.37
  UrbanTech Lance Mini-Missile|HVY|HEAVY WEAPONS||2|P"|C|4d6||1|1|UR|300|100|SOF2 pg.13
  30mm HiVel Auto-GL|HVY|HEAVY WEAPONS|Borg Weapon|0|N"|P||30mm grenade|25|15|VR|300|2000|BH pg.38
  Arasaka 'Pocket Tsunami' Grenade Launcher|HVY|HEAVY WEAPONS|Borg Weapon|0|L"|P||25mm grenade|6|1|ST|200|1250|BH pg.37
  Arasaka 'Rage' 15mm Submachinegun|HVY|HEAVY WEAPONS|Borg Weapon|-1|L"|P|4D10+3|15mm KURZ|20|10|VR|100|4500|BH pg.37
  25mm Pistol Grenades - Chemical|P|LAUNCHED GRENADES||0|N"||spcl|25mm LGREN-Chem|1|1|ST|15|20|BH pg.41
  25mm Pistol Grenades - Concussion|P|LAUNCHED GRENADES||0|N"||3d6 Stun; SP 1/3.|25mm LGREN-Concussion|1|1|ST|15|15|BH pg.41
  25mm Pistol Grenades - Def. Frag|P|LAUNCHED GRENADES||0|N"||2d6+1.|25mm LGREN-Def Frag|1|1|ST|15|20|BH pg.41
  25mm Pistol Grenades - FlashBomb|P|LAUNCHED GRENADES||0|N"||Stun save -5 REF+Awa x 5 turns.|25mm LGREN-Flash|1|1|ST|15|15|BH pg.41
  25mm Pistol Grenades - HEP|P|LAUNCHED GRENADES||0|N"||5d6 HEP|25mm LGREN-HEP|1|1|ST|15|30|BH pg.41
  25mm Pistol Grenades - Incendiary|P|LAUNCHED GRENADES||0|N"||4d6/3d6/2d6. |25mm LGREN-Incendiary|1|1|ST|15|30|BH pg.41
  25mm Pistol Grenades - Off. Frag|P|LAUNCHED GRENADES||0|N"||5d6.|25mm LGREN-Off. Frag|1|1|ST|15|25|BH pg.41
  25mm Pistol Grenades - Smoke or tear gas|P|LAUNCHED GRENADES||0|N"||spcl|25mm LGREN-Gas|1|1|ST|15|15|BH pg.41
  30mm Launched Grenades - Bean Bag |HVY|LAUNCHED GRENADES||0|N"|R|2d6; Stun -5; +1/15SP; 20+ REF roll;-1 Diff/100kg of target|30mm LGREN-Bean Bag|1|1|ST|50|100| pg.0
  30mm Launched Grenades - Chemical Carriers |HVY|LAUNCHED GRENADES||0|N"|R|gas or smoke. 5eb 'chute|30mm LGREN-Chem|1|1|ST|200|100| pg.0
  30mm Launched Grenades - EMP|HVY|LAUNCHED GRENADES||0|N"|R|Disorient 10sec;Cyber 4/10min;|30mm LGREN-EMP|1|1|ST|200|400| pg.0
  30mm Launched Grenades - Flash-Bang|HVY|LAUNCHED GRENADES||0|N"|R|Stun -2;stun+deaf 4 turns. 20+ REF or blind 2 turns.|30mm LGREN-Flash|1|1|ST|25|100| pg.0
  30mm Launched Grenades - Fletchette|HVY|LAUNCHED GRENADES||0|N"|R|1d6/2 x 2d6AP (1). |30mm LGREN-Flech|1|1|ST|200|100| pg.0
  30mm Launched Grenades - Grapnel|HVY|LAUNCHED GRENADES||-2|N"|R|1/2 range; 1d6 dam; Catch 50%|30mm LGREN-Grapnel|1|1|ST|200|30| pg.0
  30mm Launched Grenades - HE |HVY|LAUNCHED GRENADES||0|N"|R|7d6 (2). 5m radius. Armed after 10m|30mm LGREN-HE|1|1|ST|200|100| pg.0
  30mm Launched Grenades - HEDP |HVY|LAUNCHED GRENADES||0|N"|R|4d10 (4*) 4d6 over 1m|30mm LGREN-HEAT|1|1|ST|200|100| pg.0
  30mm Launched Grenades - HEP|HVY|LAUNCHED GRENADES||-1|N"|R|7d6 HEP; SP -5 levels; |30mm LGREN-HEP|1|1|ST|200|100| pg.0
  30mm Launched Grenades - Illumination|HVY|LAUNCHED GRENADES||0|N"|R|20m + 20m LL or 1d6x6. 5eb 'chute|30mm LGREN-Illum|1|1|ST|200|100| pg.0
  30mm Launched Grenades - Net|HVY|LAUNCHED GRENADES||-5|N"|R|1d6 + 50% wrap;20+ REF or 25+ BOD to escape net|30mm LGREN-Net|1|1|ST|25|100| pg.0
  30mm Launched Grenades - Slasher|HVY|LAUNCHED GRENADES||-2|N"|R|4d6  1/3 SP.|30mm LGREN-Slasher|1|1|ST|50|75| pg.0
  30mm Launched Grenades - Splatshell|HVY|LAUNCHED GRENADES||0|N"|R|1d6+1 hits. |30mm LGREN-Splatshell|1|1|ST|200|10| pg.0
  30mm Launched Grenades - Spraypaint|HVY|LAUNCHED GRENADES||0|N"|R|Blind for 1d6/3 turns;|30mm LGREN-Spraypaint|1|1|ST|200|20| pg.0
  30mm Launched Grenades - WP|HVY|LAUNCHED GRENADES||0|N"|R|4d6x3 (2)|30mm LGREN-WP|1|1|ST|200|100| pg.0
  40mm Launched Grenades - Bean Bag |HVY|LAUNCHED GRENADES||0|N"|R|2d6; Stun -5; +1/15SP; 20+ REF roll;-1 Diff/100kg of target|40mm LGREN-Bean Bag|1|1|ST|50|100| pg.0
  40mm Launched Grenades - Chemical Carriers |HVY|LAUNCHED GRENADES||0|N"|R|gas or smoke. 5eb 'chute|40mm LGREN-Chem|1|1|ST|200|100| pg.0
  40mm Launched Grenades - EMP|HVY|LAUNCHED GRENADES||0|N"|R|Disorient 10sec;Cyber 4/10min;|40mm LGREN-EMP|1|1|ST|200|400| pg.0
  40mm Launched Grenades - Flash-Bang|HVY|LAUNCHED GRENADES||0|N"|R|Stun -2;stun+deaf 4 turns. 20+ REF or blind 2 turns.|40mm LGREN-Flash|1|1|ST|25|100| pg.0
  40mm Launched Grenades - Flechette|HVY|LAUNCHED GRENADES||0|N"|R|1d6/2 x 2d6AP (1). |40mm LGREN-Flech|1|1|ST|200|100| pg.0
  40mm Launched Grenades - Grapnel|HVY|LAUNCHED GRENADES||-2|N"|R|1/2 range; 1d6 dam; Catch 50%|40mm LGREN-Grapnel|1|1|ST|200|30| pg.0
  40mm Launched Grenades - HE |HVY|LAUNCHED GRENADES||0|N"|R|7d6 (2). 5m radius. Armed after 10m|40mm LGREN-HE|1|1|ST|200|100| pg.0
  40mm Launched Grenades - HEDP |HVY|LAUNCHED GRENADES||0|N"|R|4d10 (4*) 4d6 over 1m|40mm LGREN-HEAT|1|1|ST|200|100| pg.0
  40mm Launched Grenades - HEP|HVY|LAUNCHED GRENADES||-1|N"|R|7d6 HEP; SP -5 levels; |40mm LGREN-HEP|1|1|ST|200|100| pg.0
  40mm Launched Grenades - Illumination|HVY|LAUNCHED GRENADES||0|N"|R|20m + 20m LL or 1d6x6. 5eb 'chute|40mm LGREN-Illum|1|1|ST|200|100| pg.0
  40mm Launched Grenades - LN2 |HVY|LAUNCHED GRENADES||0|N"|R|2d6+2 (min 6); 1d6/2+1 area.|40mm LGREN-LN2|1|1|ST|200|100| pg.0
  40mm Launched Grenades - Net|HVY|LAUNCHED GRENADES||-5|N"|R|1d6 + 50% wrap;20+ REF or 25+ BOD to escape net|40mm LGREN-Net|1|1|ST|25|100| pg.0
  40mm Launched Grenades - Slasher|HVY|LAUNCHED GRENADES||-2|N"|R|4d6; 1/3 SP. |40mm LGREN-Slasher|1|1|ST|50|75| pg.0
  40mm Launched Grenades - Splatshell|HVY|LAUNCHED GRENADES||0|N"|R|1d6+1 hits. |40mm LGREN-Splatshell|1|1|ST|200|100| pg.0
  40mm Launched Grenades - Spraypaint|HVY|LAUNCHED GRENADES||0|N"|R|Blind for 1d6/3 turns;|40mm LGREN-Spraypaint|1|1|ST|200|20| pg.0
  40mm Launched Grenades - WP|HVY|LAUNCHED GRENADES||0|N"|R|4d6x3 (2)|40mm LGREN-WP|1|1|ST|200|100| pg.0
  Classic Rifle Grenade - Chemical|HVY|LAUNCHED GRENADES||-3|N"|P|||1|0.5|VR|100|50|BH pg.41
  Classic Rifle Grenade - HE|HVY|LAUNCHED GRENADES||-3|N"|P|8d6||1|0.5|VR|100|50|BH pg.41
  Classic Rifle Grenade - HEAT|HVY|LAUNCHED GRENADES||-3|N"|P|8D10||1|0.5|VR|100|50|BH pg.41
  Classic Rifle Grenades - Chemical Gas or smoke|HVY|LAUNCHED GRENADES||-3|N"||Chemical Gas or smoke||1|1|ST|0|50| pg.0
  Classic Rifle Grenades - EMP|HVY|LAUNCHED GRENADES||-3|N"||Disorient 1d6x10; Cyber 4-10min; ||1|1|ST|0|400| pg.0
  Classic Rifle Grenades - HE|HVY|LAUNCHED GRENADES||-3|N"||8d6||1|1|ST|0|50| pg.0
  Classic Rifle Grenades - HEAT |HVY|LAUNCHED GRENADES||-3|N"||8d10HEAT; 4d6 over 1m||1|1|ST|0|50| pg.0
  DCR Rifle Grenades - Anti-Tank|HVY|LAUNCHED GRENADES||0|N"|P|||1|0.5|ST|150|100|BH pg.41
  DCR Rifle Grenades - HE|HVY|LAUNCHED GRENADES||-1|N"||7d6 frag to 5m; 3d6 frag to 6-10m||1|1|ST|150|50| pg.0
  DCR Rifle Grenades - HEAT|HVY|LAUNCHED GRENADES||-1|N"||5d10HEAT; 3d6 frag to 5m. WA +0||1|1|ST|150|50| pg.0
  DCR Rifle Grenades - Smoke |HVY|LAUNCHED GRENADES||-1|N"||Smoke over 10m||1|1|ST|150|50| pg.0
  Military 40mm Launched Grenade - |HVY|LAUNCHED GRENADES||0|N"|R|7D6||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - Bean Bag|HVY|LAUNCHED GRENADES||0|N"|R|2D6||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - Chemical|HVY|LAUNCHED GRENADES||0|N"|R|Chemical||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - Flash-Bang|HVY|LAUNCHED GRENADES||0|N"|R|||0|0|ST|25|50|BH pg.42
  Military 40mm Launched Grenade - Flechette|HVY|LAUNCHED GRENADES||0|N"|R|1d3x2d6||0|0|ST|25|50|BH pg.42
  Military 40mm Launched Grenade - Grapnel|HVY|LAUNCHED GRENADES||-2|N"|R|1D6||0|0|ST|0|30|BH pg.42
  Military 40mm Launched Grenade - HEDP|HVY|LAUNCHED GRENADES||0|N"|R|4D10||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - HEP|HVY|LAUNCHED GRENADES||-1|N"|R|7D6||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - Illumination|HVY|LAUNCHED GRENADES||0|N"||1D6||0|0|ST|0|50|BH pg.42
  Military 40mm Launched Grenade - Net|HVY|LAUNCHED GRENADES||-5|N"|R|1D6||0|0|ST|25|50|BH pg.42
  Military 40mm Launched Grenade - Splatshell|HVY|LAUNCHED GRENADES||0|N"|R|||0|0|ST|0|10|BH pg.42
  Military 40mm Launched Grenade - White Phosphorous|HVY|LAUNCHED GRENADES||0|N"|R|4D6||0|0|ST|0|50|BH pg.42
  Militech 25mm Launched Grenade -  Flechette |HVY|LAUNCHED GRENADES||0|N"||2d6x1d6||0|0|ST|0|0|BH pg.41
  Militech 25mm Launched Grenade - Chemical Smoke or gas|HVY|LAUNCHED GRENADES||0|N"||||1|1|ST|150|30|BH pg.41
  Militech 25mm Launched Grenade - Fragmentation|HVY|LAUNCHED GRENADES||0|N"||2d6+1||0|0|ST|0|0|BH pg.41
  Militech 25mm Launched Grenade - HEP|HVY|LAUNCHED GRENADES||0|N"||5d6||0|0|ST|0|0|BH pg.41
  Tsunami High Pressure 25mm Grenades - Frag|HVY|LAUNCHED GRENADES||0|N"||3d6+1 (1).||1|1|ST|1500|15| pg.0
  Tsunami High Pressure 25mm Grenades - HE|HVY|LAUNCHED GRENADES||0|N"||5d6 (2).||1|1|ST|1500|15| pg.0
  Tsunami High Pressure 25mm Grenades - HEP|HVY|LAUNCHED GRENADES||0|N"||5d6 (3*) armor damaged 2 levels||1|1|ST|1500|25| pg.0
  Tsunami High Pressure 25mm Grenades - Incendiary|HVY|LAUNCHED GRENADES||0|N"||4/3/2d6 (2).||1|1|ST|1500|15| pg.0
  Arasaka 'Crowd Control'|HVY|MACHINEGUNS||0|N"|E|1d3+1*1d3||500|50|ST|200|1000|LD pg.59
  Constitution Arms Cyclone Squad Support Weapon|HVY|MACHINEGUNS||1|N"|P|6d6+2|7.62mm|100|35|VR|500|1200|BH pg.32
  Constitution Arms Deluge Crowd Control Weapon|HVY|MACHINEGUNS||0|N"|P|1d2|Drugs|400|35|ST|60|800|BH pg.33
  Dover GA-1112 Autogun|HVY|MACHINEGUNS||1|N"|R|4d6+4|12mm Long|400|80|ST|400|1110|BH pg.33
  Fabrica de Armes M-2012HB SAW|HVY|MACHINEGUNS||2|N"|P|5d6+3|6.5mm|100|30|VR|450|1600|BH pg.33
  FN MG-6 'One-on-One'|HVY|MACHINEGUNS||1|N"|P|5d6|5.56mm|100|40|VR|450|1800|BH pg.33
  FN-MAG Machine gun|HVY|MACHINEGUNS||0|N"|R|6d6+2|7.62mm|100|30|VR|1000|1500|UK pg.37
  Heckler & Koch G-6 Advanced Squad Automatic|HVY|MACHINEGUNS||1|N"|P|5d6|6mm|100|30|VR|450|2050|BH pg.33
  M-60D Medium Machine Gun|HVY|MACHINEGUNS||1|N"|P|6d6+2|7.62mm|100|20|VR|500|1000|BH pg.33
  M2A5HB Browning .50cal HMG|HVY|MACHINEGUNS||0|N"|P|6d10|12.7mm|100|10|VR|600|2000|BH pg.33
  Militech 20L Autocannon|HVY|MACHINEGUNS||0|N"|R|8D10|20mm|100|10|VR|500|3000|BH pg.34
  Militech High Power 15|HVY|MACHINEGUNS||2|N"|P|2d6+4|9mm Long|180|60|ST|200|1600|BH pg.33
  Militech M-232 Squad Assault/Automatic Weapon|HVY|MACHINEGUNS||0|N"|P|5d6|5.56mm|100|20|VR|400|1000|BH pg.34
  Militech Renegade Squad Automatic Weapon|HVY|MACHINEGUNS||0|N"|R|6d6-1|6.5mm Hybrid|200|20|ST|400|1100|BH pg.34
  Militech RRCR Archer Machine-Rifle|HVY|MACHINEGUNS||1|L"|P|6d6+2|7.62mm|100|33|ST|400|3300|SW pg.36
